[2024-12-21 14:45:54] [check_init_dialog_box]
[2024-12-21 14:45:59] 	[X] get_actions_offline_earning_close_box
[2024-12-21 14:45:59] 	[X] get_actions_away_earn_close_box
[2024-12-21 14:45:59] 	[X] get_actions_on_new_stage_intro2
[2024-12-21 14:45:59] 	[X] get_actions_on_new_stage_intro
[2024-12-21 14:45:59] 	[O] has_setup_gear_menu
[2024-12-21 14:46:05] [find factory to upgrade] 1 / 10
[2024-12-21 14:46:10] 	[X] Skill Upgrade
[2024-12-21 14:46:12] 	[X] BOX Open
[2024-12-21 14:46:12] [find factory to upgrade] 2 / 10
[2024-12-21 14:46:17] 	[X] Skill Upgrade
[2024-12-21 14:46:19] 	[X] BOX Open
[2024-12-21 14:46:19] [find factory to upgrade] 3 / 10
[2024-12-21 14:46:25] 	[X] Skill Upgrade
[2024-12-21 14:46:26] 	[X] BOX Open
[2024-12-21 14:46:26] [find factory to upgrade] 4 / 10
[2024-12-21 14:46:32] 	[X] Skill Upgrade
[2024-12-21 14:46:34] 	[X] BOX Open
[2024-12-21 14:46:34] [find factory to upgrade] 5 / 10
[2024-12-21 14:46:38] 	[X] Skill Upgrade
[2024-12-21 14:46:39] 	[X] BOX Open
[2024-12-21 14:46:39] 	Open Factory 110, 1283
[2024-12-21 14:46:42] 	[O] Unlock Factory
[2024-12-21 14:46:43] 	Close Factory 110, 1283
[2024-12-21 14:46:45] 	[O] Skill Upgrade
[2024-12-21 14:46:49] 	[X] BOX Open
[2024-12-21 14:46:49] 	Open Factory 110, 1283
[2024-12-21 14:46:52] 	[X] Unlock Factory
[2024-12-21 14:46:52] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:46:55] 	Close Factory 110, 1283
[2024-12-21 14:46:57] 	[O] Skill Upgrade
[2024-12-21 14:47:01] 	[O] Open Box 107, 1435
[2024-12-21 14:47:02] 	Open Factory 110, 1283
[2024-12-21 14:47:04] 	[X] Unlock Factory
[2024-12-21 14:47:04] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
